Reg4: Reg4, Lifetables (period 5x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03793	0.03675	0.15	100000	3675	96890	6635867	66.36
1941-1949	1-4	0.00215	0.00856	1.54	96325	824	383275	6538977	67.88
1941-1949	5-9	0.00093	0.00464	2.35	95501	443	476329	6155702	64.46
1941-1949	10-14	0.00088	0.00441	2.67	95058	419	474314	5679373	59.75
1941-1949	15-19	0.00157	0.00782	2.7	94639	740	471494	5205059	55.00
1941-1949	20-24	0.00217	0.01079	2.53	93898	1014	466990	4733565	50.41
1941-1949	25-29	0.00214	0.01062	2.5	92885	987	461961	4266575	45.93
1941-1949	30-34	0.00252	0.01252	2.61	91898	1150	456736	3804615	41.40
1941-1949	35-39	0.00356	0.01767	2.64	90748	1604	449957	3347879	36.89
1941-1949	40-44	0.00516	0.02547	2.64	89144	2270	440370	2897922	32.51
1941-1949	45-49	0.00761	0.03739	2.64	86873	3248	426685	2457552	28.29
1941-1949	50-54	0.01107	0.05391	2.62	83625	4508	407390	2030867	24.29
1941-1949	55-59	0.01591	0.07664	2.61	79117	6064	381121	1623478	20.52
1941-1949	60-64	0.02305	0.10922	2.61	73053	7979	346164	1242357	17.01
1941-1949	65-69	0.03464	0.15988	2.6	65074	10404	300378	896193	13.77
1941-1949	70-74	0.05263	0.23329	2.57	54670	12754	242317	595814	10.90
1941-1949	75-79	0.08138	0.33822	2.51	41916	14177	174215	353497	8.43
1941-1949	80-84	0.11785	0.45263	2.44	27739	12556	106543	179282	6.46
1941-1949	85-89	0.18021	0.60666	2.31	15184	9211	51115	72740	4.79
1941-1949	90-94	0.25266	0.72694	2.08	5972	4342	17183	21624	3.62
1941-1949	95-99	0.35267	0.84476	1.92	1631	1378	3906	4441	2.72
1941-1949	100-104	0.46503	0.91653	1.7	253	232	499	535	2.11
1941-1949	105-109	0.58206	0.95649	1.49	21	20	35	36	1.71
1941-1949	110+	0.67530	1.00000	1.48	1	1	1	1	1.48
1950-1959	0	0.02723	0.02660	0.12	100000	2660	97670	6994560	69.95
1950-1959	1-4	0.00122	0.00485	1.58	97340	472	388216	6896890	70.85
1950-1959	5-9	0.00052	0.00262	2.33	96868	254	483660	6508674	67.19
1950-1959	10-14	0.00051	0.00253	2.72	96614	244	482512	6025014	62.36
1950-1959	15-19	0.00106	0.00528	2.72	96369	508	480690	5542502	57.51
1950-1959	20-24	0.00139	0.00693	2.53	95861	665	477660	5061812	52.80
1950-1959	25-29	0.00143	0.00714	2.52	95196	680	474296	4584152	48.15
1950-1959	30-34	0.00168	0.00839	2.6	94517	793	470679	4109856	43.48
1950-1959	35-39	0.00238	0.01182	2.66	93724	1107	466032	3639177	38.83
1950-1959	40-44	0.00375	0.01858	2.68	92616	1720	459083	3173144	34.26
1950-1959	45-49	0.00601	0.02965	2.67	90896	2695	448211	2714062	29.86
1950-1959	50-54	0.00918	0.04494	2.65	88201	3964	431674	2265851	25.69
1950-1959	55-59	0.01349	0.06535	2.63	84237	5505	408125	1834177	21.77
1950-1959	60-64	0.01985	0.09480	2.63	78732	7464	375944	1426052	18.11
1950-1959	65-69	0.03024	0.14100	2.61	71268	10048	332279	1050107	14.73
1950-1959	70-74	0.04564	0.20550	2.58	61220	12581	275669	717829	11.73
1950-1959	75-79	0.07060	0.30069	2.54	48639	14625	207158	442160	9.09
1950-1959	80-84	0.10554	0.41664	2.47	34014	14172	134278	235001	6.91
1950-1959	85-89	0.16478	0.57296	2.34	19843	11369	68995	100724	5.08
1950-1959	90-94	0.24254	0.71773	2.16	8473	6082	25074	31729	3.74
1950-1959	95-99	0.34373	0.83773	1.94	2392	2004	5829	6655	2.78
1950-1959	100-104	0.46170	0.91556	1.7	388	355	770	825	2.13
1950-1959	105-109	0.58517	0.95757	1.49	33	31	54	56	1.70
1950-1959	110+	0.68320	1.00000	1.46	1	1	2	2	1.46
1960-1969	0	0.02260	0.02215	0.11	100000	2215	98031	7106101	71.06
1960-1969	1-4	0.00097	0.00388	1.62	97785	379	390235	7008070	71.67
1960-1969	5-9	0.00043	0.00214	2.28	97405	208	486462	6617834	67.94
1960-1969	10-14	0.00040	0.00199	2.72	97197	194	485544	6131373	63.08
1960-1969	15-19	0.00102	0.00509	2.83	97004	494	483946	5645829	58.20
1960-1969	20-24	0.00137	0.00682	2.48	96510	658	480893	5161883	53.49
1960-1969	25-29	0.00136	0.00677	2.52	95852	649	477652	4680990	48.84
1960-1969	30-34	0.00161	0.00804	2.61	95203	765	474184	4203338	44.15
1960-1969	35-39	0.00226	0.01122	2.66	94438	1059	469713	3729154	39.49
1960-1969	40-44	0.00348	0.01726	2.69	93378	1612	463161	3259440	34.91
1960-1969	45-49	0.00547	0.02702	2.67	91766	2480	453063	2796280	30.47
1960-1969	50-54	0.00859	0.04213	2.66	89287	3761	437628	2343216	26.24
1960-1969	55-59	0.01295	0.06283	2.63	85526	5373	414917	1905588	22.28
1960-1969	60-64	0.01916	0.09160	2.62	80152	7342	383289	1490671	18.60
1960-1969	65-69	0.02833	0.13259	2.59	72810	9654	340785	1107382	15.21
1960-1969	70-74	0.04255	0.19295	2.59	63156	12186	286368	766597	12.14
1960-1969	75-79	0.06488	0.27968	2.54	50970	14255	219722	480229	9.42
1960-1969	80-84	0.10062	0.40178	2.49	36715	14751	146598	260507	7.10
1960-1969	85-89	0.15919	0.56004	2.35	21964	12301	77271	113908	5.19
1960-1969	90-94	0.23781	0.71040	2.17	9663	6865	28866	36638	3.79
1960-1969	95-99	0.34398	0.83857	1.94	2798	2347	6822	7772	2.78
1960-1969	100-104	0.46722	0.91859	1.7	452	415	888	950	2.10
1960-1969	105-109	0.59605	0.96035	1.47	37	35	59	61	1.67
1960-1969	110+	0.69769	1.00000	1.43	1	1	2	2	1.43
1970-1979	0	0.01486	0.01466	0.09	100000	1466	98665	7318522	73.19
1970-1979	1-4	0.00078	0.00310	1.65	98534	306	393418	7219856	73.27
1970-1979	5-9	0.00036	0.00182	2.3	98229	179	490660	6826439	69.50
1970-1979	10-14	0.00036	0.00179	2.76	98050	175	489855	6335779	64.62
1970-1979	15-19	0.00111	0.00554	2.87	97875	543	488219	5845923	59.73
1970-1979	20-24	0.00149	0.00741	2.48	97332	721	484846	5357704	55.05
1970-1979	25-29	0.00140	0.00697	2.5	96611	673	481372	4872858	50.44
1970-1979	30-34	0.00149	0.00742	2.56	95938	711	477954	4391487	45.77
1970-1979	35-39	0.00201	0.00998	2.63	95226	950	473879	3913532	41.10
1970-1979	40-44	0.00301	0.01497	2.66	94276	1411	468082	3439653	36.48
1970-1979	45-49	0.00475	0.02350	2.66	92865	2182	459226	2971571	32.00
1970-1979	50-54	0.00726	0.03571	2.65	90683	3238	445804	2512345	27.70
1970-1979	55-59	0.01113	0.05423	2.65	87445	4742	426063	2066541	23.63
1970-1979	60-64	0.01692	0.08132	2.63	82703	6726	397577	1640478	19.84
1970-1979	65-69	0.02452	0.11581	2.6	75977	8799	358808	1242901	16.36
1970-1979	70-74	0.03673	0.16871	2.59	67179	11334	308557	884092	13.16
1970-1979	75-79	0.05632	0.24757	2.56	55845	13826	245469	575535	10.31
1970-1979	80-84	0.08601	0.35437	2.52	42019	14890	173122	330066	7.86
1970-1979	85-89	0.13588	0.50237	2.41	27129	13629	100300	156944	5.79
1970-1979	90-94	0.20981	0.66408	2.24	13500	8965	42731	56644	4.20
1970-1979	95-99	0.30674	0.80192	2.03	4535	3637	11856	13913	3.07
1970-1979	100-104	0.42598	0.89769	1.78	898	806	1893	2057	2.29
1970-1979	105-109	0.55612	0.95054	1.54	92	87	157	164	1.78
1970-1979	110+	0.66179	1.00000	1.51	5	5	7	7	1.51
1980-1989	0	0.00991	0.00982	0.08	100000	982	99092	7537128	75.37
1980-1989	1-4	0.00055	0.00221	1.58	99018	219	395543	7438035	75.12
1980-1989	5-9	0.00026	0.00129	2.39	98799	128	493663	7042492	71.28
1980-1989	10-14	0.00028	0.00141	2.81	98671	139	493052	6548829	66.37
1980-1989	15-19	0.00091	0.00456	2.87	98532	450	491701	6055778	61.46
1980-1989	20-24	0.00120	0.00600	2.5	98082	588	488943	5564077	56.73
1980-1989	25-29	0.00122	0.00607	2.51	97494	592	485999	5075133	52.06
1980-1989	30-34	0.00139	0.00692	2.57	96902	671	482882	4589134	47.36
1980-1989	35-39	0.00175	0.00872	2.59	96231	839	479136	4106252	42.67
